Start Time, Tue Feb 17 17:33:07 GMT+0000 2026
Energy calibration,  Offset: 0, Slope: 1, Quadratic: 0
Live Time (s), 337267.986639
Real Time (s), 337289.391285
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
870, 870, 355
871, 871, 371
872, 872, 343
873, 873, 351
874, 874, 356
875, 875, 365
876, 876, 365
877, 877, 330
878, 878, 352
879, 879, 333
880, 880, 367
881, 881, 306
882, 882, 345
883, 883, 335
884, 884, 343
885, 885, 344
886, 886, 380
887, 887, 344
888, 888, 345
889, 889, 357
890, 890, 329
891, 891, 326
892, 892, 342
893, 893, 368
894, 894, 334
895, 895, 330
896, 896, 317
897, 897, 330
898, 898, 332
899, 899, 329
900, 900, 310
901, 901, 305
902, 902, 326
903, 903, 331
904, 904, 319
905, 905, 329
906, 906, 308
907, 907, 297
908, 908, 313
909, 909, 353
910, 910, 311
911, 911, 340
912, 912, 311
913, 913, 347
914, 914, 294
915, 915, 322
916, 916, 342
917, 917, 289
918, 918, 310
919, 919, 313
920, 920, 271
921, 921, 323
922, 922, 329
923, 923, 327
924, 924, 324
925, 925, 315
926, 926, 311
927, 927, 275
928, 928, 322
929, 929, 326
930, 930, 286
931, 931, 350
932, 932, 304
933, 933, 316
934, 934, 320
935, 935, 293
936, 936, 297
937, 937, 315
938, 938, 314
939, 939, 345
940, 940, 278
941, 941, 299
942, 942, 301
943, 943, 313
944, 944, 305
945, 945, 322
946, 946, 292
947, 947, 334
948, 948, 308
949, 949, 307
950, 950, 282
951, 951, 325
952, 952, 307
953, 953, 307
954, 954, 320
955, 955, 289
956, 956, 320
957, 957, 298
958, 958, 301
959, 959, 297
960, 960, 315
961, 961, 261
962, 962, 301
963, 963, 289
964, 964, 315
965, 965, 286
966, 966, 330
967, 967, 306
968, 968, 307
969, 969, 329
970, 970, 259
971, 971, 301
972, 972, 321
973, 973, 289
974, 974, 315
975, 975, 296
976, 976, 289
977, 977, 305
978, 978, 277
979, 979, 303
980, 980, 293
981, 981, 340
982, 982, 297
983, 983, 310
984, 984, 292
985, 985, 313
986, 986, 298
987, 987, 306
988, 988, 300
989, 989, 311
990, 990, 306
991, 991, 296
992, 992, 272
993, 993, 316
994, 994, 302
995, 995, 284
996, 996, 293
997, 997, 341
998, 998, 286
999, 999, 280
1000, 1000, 278
1001, 1001, 291
1002, 1002, 286
1003, 1003, 296
1004, 1004, 283
1005, 1005, 282
1006, 1006, 283
1007, 1007, 292
1008, 1008, 259
1009, 1009, 280
1010, 1010, 264
1011, 1011, 293
1012, 1012, 302
1013, 1013, 300
1014, 1014, 254
1015, 1015, 272
1016, 1016, 296
1017, 1017, 283
1018, 1018, 267
1019, 1019, 260
1020, 1020, 304
1021, 1021, 281
1022, 1022, 315
1023, 1023, 292
1024, 1024, 294
1025, 1025, 296
1026, 1026, 299
1027, 1027, 304
1028, 1028, 293
1029, 1029, 279
1030, 1030, 297
1031, 1031, 263
1032, 1032, 282
1033, 1033, 286
1034, 1034, 301
1035, 1035, 281
1036, 1036, 261
1037, 1037, 262
1038, 1038, 264
1039, 1039, 252
1040, 1040, 267
1041, 1041, 261
1042, 1042, 264
1043, 1043, 293
1044, 1044, 286
1045, 1045, 263
1046, 1046, 285
1047, 1047, 261
1048, 1048, 281
1049, 1049, 289
1050, 1050, 298
1051, 1051, 246
1052, 1052, 267
1053, 1053, 242
1054, 1054, 295
1055, 1055, 273
1056, 1056, 295
1057, 1057, 245
1058, 1058, 279
1059, 1059, 280
1060, 1060, 250
1061, 1061, 287
1062, 1062, 271
1063, 1063, 278
1064, 1064, 287
1065, 1065, 279
1066, 1066, 276
1067, 1067, 264
1068, 1068, 261
1069, 1069, 281
1070, 1070, 264
1071, 1071, 251
1072, 1072, 252
1073, 1073, 256
1074, 1074, 262
1075, 1075, 258
1076, 1076, 229
1077, 1077, 254
1078, 1078, 237
1079, 1079, 238
1080, 1080, 237
1081, 1081, 265
1082, 1082, 242
1083, 1083, 275
1084, 1084, 278
1085, 1085, 263
1086, 1086, 244
1087, 1087, 226
1088, 1088, 267
1089, 1089, 259
1090, 1090, 246
1091, 1091, 231
1092, 1092, 245
1093, 1093, 244
1094, 1094, 251
1095, 1095, 226
1096, 1096, 254
1097, 1097, 261
1098, 1098, 230
1099, 1099, 252
1100, 1100, 221
1101, 1101, 230
1102, 1102, 246
1103, 1103, 256
1104, 1104, 235
1105, 1105, 254
1106, 1106, 242
1107, 1107, 252
1108, 1108, 272
1109, 1109, 225
1110, 1110, 246
1111, 1111, 205
1112, 1112, 246
1113, 1113, 246
1114, 1114, 245
1115, 1115, 240
1116, 1116, 255
1117, 1117, 210
1118, 1118, 236
1119, 1119, 270
1120, 1120, 252
1121, 1121, 246
1122, 1122, 255
1123, 1123, 254
1124, 1124, 221
1125, 1125, 248
1126, 1126, 226
1127, 1127, 248
1128, 1128, 236
1129, 1129, 254
1130, 1130, 250
1131, 1131, 265
1132, 1132, 244
1133, 1133, 241
1134, 1134, 249
1135, 1135, 257
1136, 1136, 246
1137, 1137, 250
1138, 1138, 218
1139, 1139, 240
1140, 1140, 204
1141, 1141, 236
1142, 1142, 230
1143, 1143, 242
1144, 1144, 236
1145, 1145, 251
1146, 1146, 228
1147, 1147, 220
1148, 1148, 233
1149, 1149, 223
1150, 1150, 216
1151, 1151, 247
1152, 1152, 236
1153, 1153, 258
1154, 1154, 268
1155, 1155, 230
1156, 1156, 223
1157, 1157, 258
1158, 1158, 221
1159, 1159, 223
1160, 1160, 260
1161, 1161, 240
1162, 1162, 236
1163, 1163, 200
1164, 1164, 237
1165, 1165, 242
1166, 1166, 220
1167, 1167, 220
1168, 1168, 273
1169, 1169, 273
1170, 1170, 254
1171, 1171, 241
1172, 1172, 247
1173, 1173, 237
1174, 1174, 229
1175, 1175, 234
1176, 1176, 262
1177, 1177, 233
1178, 1178, 228
1179, 1179, 228
1180, 1180, 253
1181, 1181, 220
1182, 1182, 237
1183, 1183, 248
1184, 1184, 208
1185, 1185, 243
1186, 1186, 216
1187, 1187, 225
1188, 1188, 248
1189, 1189, 250
1190, 1190, 258
1191, 1191, 225
1192, 1192, 199
1193, 1193, 238
1194, 1194, 244
1195, 1195, 251
1196, 1196, 248
1197, 1197, 235
1198, 1198, 238
1199, 1199, 260
1200, 1200, 256
1201, 1201, 214
1202, 1202, 272
1203, 1203, 246
1204, 1204, 259
1205, 1205, 229
1206, 1206, 226
1207, 1207, 235
1208, 1208, 242
1209, 1209, 259
1210, 1210, 232
1211, 1211, 242
1212, 1212, 233
1213, 1213, 261
1214, 1214, 218
1215, 1215, 221
1216, 1216, 252
1217, 1217, 228
1218, 1218, 258
1219, 1219, 237
1220, 1220, 238
1221, 1221, 259
1222, 1222, 238
1223, 1223, 246
1224, 1224, 244
1225, 1225, 245
1226, 1226, 230
1227, 1227, 216
1228, 1228, 236
1229, 1229, 241
1230, 1230, 243
1231, 1231, 231
1232, 1232, 205
1233, 1233, 245
1234, 1234, 254
1235, 1235, 229
1236, 1236, 251
1237, 1237, 241
1238, 1238, 230
1239, 1239, 245
1240, 1240, 227
1241, 1241, 214
1242, 1242, 245
1243, 1243, 227
1244, 1244, 212
1245, 1245, 268
1246, 1246, 245
1247, 1247, 225
1248, 1248, 230
1249, 1249, 215
1250, 1250, 232
1251, 1251, 203
1252, 1252, 236
1253, 1253, 199
1254, 1254, 229
1255, 1255, 233
1256, 1256, 219
1257, 1257, 216
1258, 1258, 219
1259, 1259, 206
1260, 1260, 235
1261, 1261, 206
1262, 1262, 220
1263, 1263, 218
1264, 1264, 223
1265, 1265, 214
1266, 1266, 210
1267, 1267, 224
1268, 1268, 234
1269, 1269, 224
1270, 1270, 206
1271, 1271, 218
1272, 1272, 209
1273, 1273, 240
1274, 1274, 222
1275, 1275, 252
1276, 1276, 247
1277, 1277, 231
1278, 1278, 212
1279, 1279, 203
1280, 1280, 231
1281, 1281, 201
1282, 1282, 207
1283, 1283, 215
1284, 1284, 215
1285, 1285, 192
1286, 1286, 207
1287, 1287, 222
1288, 1288, 229
1289, 1289, 222
1290, 1290, 230
1291, 1291, 218
1292, 1292, 227
1293, 1293, 220
1294, 1294, 202
1295, 1295, 223
1296, 1296, 212
1297, 1297, 175
1298, 1298, 213
1299, 1299, 215
1300, 1300, 184
1301, 1301, 186
1302, 1302, 201
1303, 1303, 184
1304, 1304, 202
1305, 1305, 174
1306, 1306, 192
1307, 1307, 188
1308, 1308, 214
1309, 1309, 193
1310, 1310, 208
1311, 1311, 188
1312, 1312, 172
1313, 1313, 217
1314, 1314, 216
1315, 1315, 193
1316, 1316, 202
1317, 1317, 175
1318, 1318, 191
1319, 1319, 187
1320, 1320, 194
1321, 1321, 194
1322, 1322, 178
1323, 1323, 186
1324, 1324, 203
1325, 1325, 167
1326, 1326, 195
1327, 1327, 192
1328, 1328, 210
1329, 1329, 169
1330, 1330, 180
1331, 1331, 203
1332, 1332, 172
1333, 1333, 165
1334, 1334, 159
1335, 1335, 176
1336, 1336, 162
1337, 1337, 189
