Start Time, Mon Feb 23 13:49:17 GMT+0000 2026
Energy calibration,  Offset: 0, Slope: 1, Quadratic: 0
Live Time (s), 271945.569719
Real Time (s), 271983.791289
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
457, 457, 3153
458, 458, 3261
459, 459, 3208
460, 460, 3202
461, 461, 3127
462, 462, 3140
463, 463, 3143
464, 464, 3233
465, 465, 3251
466, 466, 3076
467, 467, 3147
468, 468, 3179
469, 469, 3220
470, 470, 3122
471, 471, 3231
472, 472, 3142
473, 473, 3234
474, 474, 3177
475, 475, 3191
476, 476, 3131
477, 477, 3243
478, 478, 3117
479, 479, 3247
480, 480, 3099
481, 481, 3095
482, 482, 3110
483, 483, 3098
484, 484, 3098
485, 485, 2959
486, 486, 3038
487, 487, 2971
488, 488, 3077
489, 489, 3067
490, 490, 3044
491, 491, 3022
492, 492, 2978
493, 493, 2958
494, 494, 3042
495, 495, 2914
496, 496, 3019
497, 497, 2893
498, 498, 3009
499, 499, 2925
500, 500, 2887
501, 501, 2920
502, 502, 2937
503, 503, 2916
504, 504, 2963
505, 505, 2910
506, 506, 3001
507, 507, 2891
508, 508, 2926
509, 509, 2989
510, 510, 2949
511, 511, 2836
512, 512, 2860
513, 513, 2861
514, 514, 2825
515, 515, 2915
516, 516, 2825
517, 517, 2681
518, 518, 2762
519, 519, 2862
520, 520, 2764
521, 521, 2746
522, 522, 2800
523, 523, 2716
524, 524, 2718
525, 525, 2771
526, 526, 2760
527, 527, 2691
528, 528, 2738
529, 529, 2735
530, 530, 2796
531, 531, 2658
532, 532, 2665
533, 533, 2683
534, 534, 2691
535, 535, 2707
536, 536, 2764
537, 537, 2709
538, 538, 2684
539, 539, 2681
540, 540, 2664
541, 541, 2754
542, 542, 2738
543, 543, 2571
544, 544, 2702
545, 545, 2649
546, 546, 2636
547, 547, 2536
548, 548, 2556
549, 549, 2700
550, 550, 2605
551, 551, 2670
552, 552, 2574
553, 553, 2593
554, 554, 2651
555, 555, 2654
556, 556, 2534
557, 557, 2612
558, 558, 2569
559, 559, 2553
560, 560, 2533
561, 561, 2466
562, 562, 2515
563, 563, 2623
564, 564, 2437
565, 565, 2450
566, 566, 2471
567, 567, 2541
568, 568, 2521
569, 569, 2500
570, 570, 2509
571, 571, 2451
572, 572, 2496
573, 573, 2538
574, 574, 2468
575, 575, 2544
576, 576, 2464
577, 577, 2420
578, 578, 2425
579, 579, 2417
580, 580, 2465
581, 581, 2470
582, 582, 2461
583, 583, 2421
584, 584, 2443
585, 585, 2335
586, 586, 2409
587, 587, 2397
588, 588, 2361
589, 589, 2329
590, 590, 2345
591, 591, 2492
592, 592, 2430
593, 593, 2452
594, 594, 2431
595, 595, 2399
596, 596, 2429
597, 597, 2373
598, 598, 2360
599, 599, 2428
600, 600, 2317
601, 601, 2394
602, 602, 2368
603, 603, 2383
604, 604, 2394
605, 605, 2376
606, 606, 2305
607, 607, 2382
608, 608, 2363
609, 609, 2373
610, 610, 2384
611, 611, 2329
612, 612, 2261
613, 613, 2319
614, 614, 2331
615, 615, 2340
616, 616, 2306
617, 617, 2256
618, 618, 2354
619, 619, 2320
620, 620, 2304
621, 621, 2347
622, 622, 2354
623, 623, 2242
624, 624, 2398
625, 625, 2290
626, 626, 2321
627, 627, 2280
628, 628, 2247
629, 629, 2283
630, 630, 2281
631, 631, 2272
632, 632, 2282
633, 633, 2288
634, 634, 2243
635, 635, 2261
636, 636, 2248
637, 637, 2275
638, 638, 2255
639, 639, 2244
640, 640, 2228
641, 641, 2260
642, 642, 2284
643, 643, 2316
644, 644, 2329
645, 645, 2366
646, 646, 2317
647, 647, 2222
648, 648, 2391
649, 649, 2283
650, 650, 2223
651, 651, 2274
652, 652, 2305
653, 653, 2298
654, 654, 2198
655, 655, 2352
656, 656, 2257
657, 657, 2214
658, 658, 2263
659, 659, 2311
660, 660, 2316
661, 661, 2309
662, 662, 2297
663, 663, 2281
664, 664, 2266
665, 665, 2322
666, 666, 2359
667, 667, 2301
668, 668, 2350
669, 669, 2361
670, 670, 2404
671, 671, 2425
672, 672, 2326
673, 673, 2393
674, 674, 2324
675, 675, 2358
676, 676, 2372
