Start Time, Thu Mar 5 14:39:04 GMT+0000 2026
Energy calibration,  Offset: 0, Slope: 1, Quadratic: 0
Live Time (s), 76990.224334
Real Time (s), 76999.889599
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
506, 506, 739
507, 507, 666
508, 508, 672
509, 509, 732
510, 510, 703
511, 511, 719
512, 512, 698
513, 513, 760
514, 514, 661
515, 515, 646
516, 516, 679
517, 517, 699
518, 518, 699
519, 519, 727
520, 520, 718
521, 521, 710
522, 522, 665
523, 523, 665
524, 524, 697
525, 525, 715
526, 526, 671
527, 527, 672
528, 528, 724
529, 529, 690
530, 530, 628
531, 531, 687
532, 532, 701
533, 533, 640
534, 534, 672
535, 535, 688
536, 536, 656
537, 537, 683
538, 538, 682
539, 539, 706
540, 540, 669
541, 541, 684
542, 542, 630
543, 543, 646
544, 544, 675
545, 545, 690
546, 546, 643
547, 547, 725
548, 548, 617
549, 549, 643
550, 550, 662
551, 551, 644
552, 552, 672
553, 553, 678
554, 554, 685
555, 555, 652
556, 556, 668
557, 557, 687
558, 558, 671
559, 559, 631
560, 560, 687
561, 561, 674
562, 562, 700
563, 563, 679
564, 564, 651
565, 565, 626
566, 566, 638
567, 567, 633
568, 568, 646
569, 569, 619
570, 570, 668
571, 571, 676
572, 572, 618
573, 573, 673
574, 574, 676
575, 575, 676
576, 576, 638
577, 577, 642
578, 578, 656
579, 579, 656
580, 580, 634
581, 581, 617
582, 582, 651
583, 583, 672
584, 584, 635
585, 585, 653
586, 586, 656
587, 587, 629
588, 588, 661
589, 589, 649
590, 590, 650
591, 591, 655
592, 592, 636
593, 593, 621
594, 594, 643
595, 595, 641
596, 596, 594
597, 597, 637
598, 598, 584
599, 599, 619
600, 600, 622
601, 601, 587
602, 602, 628
603, 603, 621
604, 604, 648
605, 605, 696
606, 606, 629
607, 607, 581
608, 608, 596
609, 609, 607
610, 610, 595
611, 611, 563
612, 612, 616
613, 613, 605
614, 614, 608
615, 615, 587
616, 616, 620
617, 617, 647
618, 618, 576
619, 619, 583
620, 620, 626
621, 621, 637
622, 622, 610
623, 623, 612
624, 624, 600
625, 625, 611
626, 626, 662
627, 627, 644
628, 628, 633
629, 629, 623
630, 630, 638
631, 631, 580
632, 632, 610
633, 633, 639
634, 634, 599
635, 635, 578
636, 636, 652
637, 637, 603
638, 638, 627
639, 639, 673
640, 640, 638
641, 641, 617
642, 642, 606
643, 643, 621
644, 644, 585
645, 645, 619
646, 646, 627
647, 647, 631
648, 648, 611
649, 649, 660
650, 650, 618
651, 651, 612
652, 652, 664
653, 653, 605
654, 654, 587
655, 655, 643
656, 656, 625
657, 657, 643
658, 658, 639
659, 659, 625
660, 660, 623
661, 661, 653
662, 662, 635
663, 663, 606
664, 664, 609
665, 665, 629
666, 666, 653
667, 667, 613
668, 668, 598
669, 669, 644
670, 670, 664
671, 671, 652
672, 672, 642
673, 673, 608
674, 674, 645
675, 675, 608
676, 676, 657
677, 677, 611
678, 678, 603
679, 679, 640
680, 680, 649
681, 681, 667
682, 682, 637
683, 683, 596
684, 684, 657
685, 685, 664
686, 686, 652
687, 687, 622
688, 688, 579
689, 689, 604
690, 690, 614
691, 691, 631
692, 692, 608
693, 693, 624
694, 694, 654
695, 695, 630
696, 696, 576
697, 697, 639
698, 698, 592
699, 699, 586
700, 700, 641
701, 701, 594
702, 702, 586
703, 703, 607
704, 704, 579
705, 705, 575
706, 706, 644
707, 707, 615
708, 708, 564
709, 709, 624
710, 710, 544
711, 711, 576
712, 712, 549
713, 713, 579
714, 714, 574
715, 715, 639
716, 716, 555
717, 717, 566
718, 718, 553
719, 719, 606
720, 720, 546
721, 721, 572
722, 722, 538
723, 723, 577
724, 724, 556
725, 725, 548
726, 726, 576
727, 727, 507
728, 728, 541
729, 729, 564
730, 730, 573
731, 731, 573
732, 732, 562
733, 733, 587
734, 734, 507
735, 735, 499
736, 736, 545
737, 737, 528
738, 738, 537
739, 739, 535
740, 740, 530
741, 741, 532
742, 742, 502
743, 743, 525
744, 744, 532
745, 745, 492
746, 746, 506
747, 747, 531
748, 748, 525
749, 749, 514
750, 750, 538
751, 751, 553
752, 752, 553
753, 753, 528
754, 754, 560
755, 755, 526
756, 756, 516
757, 757, 530
758, 758, 524
759, 759, 547
760, 760, 495
761, 761, 549
762, 762, 536
763, 763, 559
764, 764, 521
765, 765, 500
766, 766, 541
767, 767, 586
768, 768, 515
769, 769, 562
770, 770, 533
771, 771, 594
772, 772, 527
773, 773, 547
774, 774, 520
775, 775, 528
776, 776, 536
777, 777, 543
778, 778, 510
779, 779, 539
780, 780, 547
781, 781, 546
782, 782, 525
783, 783, 550
784, 784, 516
785, 785, 529
786, 786, 526
787, 787, 540
788, 788, 481
789, 789, 540
790, 790, 580
791, 791, 533
792, 792, 518
793, 793, 548
794, 794, 492
795, 795, 510
796, 796, 548
797, 797, 506
798, 798, 510
799, 799, 525
800, 800, 518
801, 801, 483
802, 802, 487
803, 803, 537
804, 804, 528
805, 805, 525
806, 806, 503
807, 807, 532
808, 808, 516
809, 809, 530
810, 810, 528
811, 811, 486
812, 812, 542
813, 813, 539
814, 814, 494
815, 815, 526
816, 816, 512
817, 817, 520
818, 818, 504
819, 819, 475
820, 820, 501
821, 821, 542
822, 822, 549
823, 823, 504
824, 824, 493
825, 825, 542
826, 826, 521
827, 827, 492
828, 828, 462
829, 829, 530
830, 830, 519
831, 831, 496
832, 832, 466
833, 833, 493
834, 834, 487
835, 835, 519
836, 836, 512
837, 837, 494
838, 838, 537
839, 839, 482
840, 840, 509
841, 841, 486
842, 842, 478
843, 843, 505
844, 844, 491
845, 845, 477
846, 846, 491
847, 847, 508
848, 848, 479
849, 849, 486
850, 850, 521
851, 851, 513
852, 852, 489
853, 853, 451
854, 854, 499
855, 855, 486
856, 856, 470
857, 857, 492
858, 858, 465
859, 859, 491
860, 860, 504
861, 861, 494
862, 862, 520
863, 863, 520
864, 864, 510
865, 865, 501
866, 866, 514
867, 867, 482
868, 868, 462
869, 869, 482
870, 870, 452
871, 871, 483
872, 872, 444
873, 873, 520
874, 874, 474
875, 875, 516
876, 876, 440
877, 877, 488
878, 878, 504
879, 879, 483
880, 880, 475
881, 881, 455
882, 882, 468
883, 883, 459
884, 884, 476
885, 885, 480
886, 886, 437
887, 887, 448
888, 888, 477
889, 889, 490
890, 890, 496
891, 891, 433
892, 892, 476
893, 893, 469
894, 894, 444
895, 895, 501
896, 896, 504
897, 897, 500
898, 898, 478
899, 899, 489
900, 900, 456
901, 901, 474
902, 902, 482
903, 903, 426
904, 904, 481
905, 905, 466
906, 906, 428
907, 907, 515
908, 908, 484
909, 909, 492
910, 910, 526
911, 911, 531
912, 912, 492
913, 913, 453
914, 914, 493
915, 915, 457
916, 916, 494
917, 917, 494
918, 918, 476
919, 919, 528
920, 920, 464
921, 921, 496
922, 922, 477
923, 923, 478
924, 924, 472
925, 925, 461
926, 926, 462
927, 927, 467
928, 928, 496
929, 929, 463
930, 930, 452
931, 931, 462
932, 932, 473
933, 933, 468
934, 934, 498
935, 935, 439
936, 936, 439
937, 937, 464
938, 938, 500
939, 939, 518
940, 940, 429
941, 941, 459
942, 942, 478
943, 943, 474
944, 944, 479
945, 945, 436
946, 946, 461
947, 947, 472
948, 948, 416
