Start Time, Wed Mar 4 16:11:53 GMT+0000 2026
Energy calibration,  Offset: 0, Slope: 1, Quadratic: 0
Live Time (s), 80648.034719
Real Time (s), 80657.664186
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
535, 535, 700
536, 536, 637
537, 537, 659
538, 538, 635
539, 539, 644
540, 540, 637
541, 541, 656
542, 542, 674
543, 543, 654
544, 544, 617
545, 545, 663
546, 546, 676
547, 547, 669
548, 548, 660
549, 549, 627
550, 550, 654
551, 551, 670
552, 552, 636
553, 553, 651
554, 554, 606
555, 555, 659
556, 556, 643
557, 557, 671
558, 558, 661
559, 559, 679
560, 560, 662
561, 561, 663
562, 562, 643
563, 563, 621
564, 564, 657
565, 565, 698
566, 566, 598
567, 567, 672
568, 568, 644
569, 569, 646
570, 570, 634
571, 571, 636
572, 572, 651
573, 573, 623
574, 574, 650
575, 575, 616
576, 576, 664
577, 577, 651
578, 578, 586
579, 579, 683
580, 580, 664
581, 581, 654
582, 582, 629
583, 583, 635
584, 584, 679
585, 585, 637
586, 586, 620
587, 587, 642
588, 588, 648
589, 589, 596
590, 590, 623
591, 591, 608
592, 592, 656
593, 593, 604
594, 594, 609
595, 595, 621
596, 596, 600
597, 597, 615
598, 598, 624
599, 599, 704
600, 600, 586
601, 601, 612
602, 602, 637
603, 603, 590
604, 604, 596
605, 605, 610
606, 606, 665
607, 607, 575
608, 608, 544
609, 609, 651
610, 610, 591
611, 611, 617
612, 612, 609
613, 613, 644
614, 614, 620
615, 615, 593
616, 616, 652
617, 617, 623
618, 618, 587
619, 619, 605
620, 620, 576
621, 621, 591
622, 622, 607
623, 623, 604
624, 624, 671
625, 625, 640
626, 626, 615
627, 627, 596
628, 628, 576
629, 629, 612
630, 630, 595
631, 631, 603
632, 632, 592
633, 633, 596
634, 634, 644
635, 635, 587
636, 636, 638
637, 637, 618
638, 638, 615
639, 639, 638
640, 640, 613
641, 641, 601
642, 642, 636
643, 643, 585
644, 644, 569
645, 645, 621
646, 646, 653
647, 647, 654
648, 648, 657
649, 649, 601
650, 650, 589
651, 651, 591
652, 652, 648
653, 653, 600
654, 654, 613
655, 655, 609
656, 656, 615
657, 657, 627
658, 658, 668
659, 659, 636
660, 660, 618
661, 661, 609
662, 662, 606
663, 663, 658
664, 664, 607
665, 665, 611
666, 666, 651
667, 667, 622
668, 668, 603
669, 669, 608
670, 670, 660
671, 671, 661
672, 672, 644
673, 673, 629
674, 674, 644
675, 675, 644
676, 676, 630
677, 677, 620
678, 678, 675
679, 679, 686
680, 680, 607
681, 681, 616
682, 682, 666
683, 683, 612
684, 684, 627
685, 685, 609
686, 686, 629
687, 687, 633
688, 688, 635
689, 689, 614
690, 690, 618
691, 691, 602
692, 692, 626
693, 693, 609
694, 694, 656
695, 695, 662
696, 696, 642
697, 697, 581
698, 698, 628
699, 699, 627
700, 700, 604
701, 701, 616
702, 702, 614
703, 703, 626
704, 704, 618
705, 705, 634
706, 706, 565
707, 707, 594
708, 708, 568
709, 709, 645
710, 710, 596
711, 711, 588
712, 712, 530
713, 713, 566
714, 714, 564
715, 715, 550
716, 716, 562
717, 717, 572
718, 718, 570
719, 719, 520
720, 720, 529
721, 721, 544
722, 722, 485
723, 723, 559
724, 724, 574
725, 725, 529
726, 726, 555
727, 727, 534
728, 728, 590
729, 729, 519
730, 730, 550
731, 731, 536
732, 732, 541
733, 733, 535
734, 734, 533
735, 735, 551
736, 736, 499
737, 737, 550
738, 738, 576
739, 739, 536
740, 740, 537
741, 741, 571
742, 742, 547
743, 743, 544
744, 744, 521
745, 745, 538
746, 746, 533
747, 747, 499
748, 748, 528
749, 749, 537
750, 750, 505
751, 751, 518
752, 752, 548
753, 753, 501
754, 754, 524
755, 755, 528
756, 756, 511
757, 757, 531
758, 758, 580
759, 759, 507
760, 760, 541
761, 761, 516
762, 762, 513
763, 763, 511
764, 764, 542
765, 765, 516
766, 766, 505
767, 767, 549
768, 768, 485
769, 769, 543
770, 770, 517
771, 771, 556
772, 772, 502
773, 773, 535
774, 774, 556
775, 775, 570
776, 776, 509
777, 777, 520
778, 778, 488
779, 779, 495
780, 780, 504
781, 781, 525
782, 782, 559
783, 783, 530
784, 784, 527
785, 785, 491
786, 786, 528
787, 787, 560
788, 788, 544
789, 789, 557
790, 790, 540
791, 791, 510
792, 792, 522
793, 793, 503
794, 794, 531
795, 795, 509
796, 796, 545
797, 797, 530
798, 798, 529
799, 799, 545
800, 800, 553
801, 801, 545
802, 802, 508
803, 803, 548
804, 804, 528
805, 805, 533
806, 806, 537
807, 807, 554
808, 808, 552
809, 809, 497
810, 810, 563
811, 811, 543
812, 812, 481
813, 813, 546
814, 814, 463
815, 815, 556
816, 816, 561
817, 817, 537
818, 818, 526
819, 819, 473
820, 820, 516
821, 821, 493
822, 822, 510
823, 823, 471
824, 824, 514
825, 825, 493
826, 826, 516
827, 827, 511
828, 828, 517
829, 829, 538
830, 830, 517
831, 831, 480
832, 832, 540
833, 833, 545
834, 834, 457
